epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,136.977,2.11479,2.89981,1.6662,12.2068,0.32696,0.38313,0.19549,0.08791,2.18335,12.5435,2.11211,0,0.00032716,0.00032716,0.0676111
2,308.789,1.85916,1.73508,1.48467,9.59039,0.5773,0.48211,0.49055,0.21286,1.95276,2.9902,2.16699,0,0.000656135,0.000656135,0.0346068
3,451.924,1.89941,1.69455,1.49309,8.21967,0.46381,0.49523,0.37969,0.18532,1.90453,2.0824,1.9633,0,0.000980709,0.000980709,0.00159799
4,592.61,1.7621,1.50824,1.39609,7.28147,0.46872,0.51148,0.44823,0.20905,2.04487,1.85147,2.06604,0,0.0009802,0.0009802,0.0009802
5,710.638,1.79257,1.54718,1.41472,6.73838,0.63564,0.52699,0.55987,0.29129,1.92848,1.84376,1.90201,0,0.0009736,0.0009736,0.0009736
6,878.873,1.74105,1.4353,1.40911,6.29385,0.72812,0.53126,0.59894,0.27962,1.91281,1.59802,1.85298,0,0.000967,0.000967,0.000967
7,960.226,1.66266,1.29471,1.33129,6.02813,0.74347,0.60281,0.65541,0.34533,1.69779,1.55742,1.61501,0,0.0009604,0.0009604,0.0009604
8,1048.36,1.73758,1.31239,1.36763,5.82517,0.74624,0.61734,0.67253,0.34548,1.65285,1.31853,1.59348,0,0.0009538,0.0009538,0.0009538
9,1149.11,1.64881,1.24989,1.31999,5.55585,0.73221,0.64897,0.69025,0.35433,1.67186,1.34465,1.6251,0,0.0009472,0.0009472,0.0009472
10,1229.95,1.64737,1.20887,1.31205,5.40269,0.78477,0.63759,0.69787,0.36074,1.6456,1.27233,1.60487,0,0.0009406,0.0009406,0.0009406
