epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,279.135,2.34027,3.94599,0.01062,11.8215,0.1317,0.09914,0.03784,0.01042,2.44907,14.2032,0.03142,0,0.00032716,0.00032716,0.0676111
2,584.862,2.04633,2.18427,0.00801,8.46409,0.39443,0.45642,0.34842,0.13855,2.05786,2.94076,0.02349,0,0.000656135,0.000656135,0.0346068
3,825.813,2.07393,1.93779,0.00791,6.87862,0.55894,0.50418,0.49208,0.24565,1.90773,2.3489,0.02181,0,0.000980709,0.000980709,0.00159799
4,1091.87,1.96438,1.64527,0.00718,5.97342,0.59347,0.54049,0.52203,0.26794,1.94363,2.13773,0.02302,0,0.0009802,0.0009802,0.0009802
5,1288.09,1.95608,1.58194,0.00752,5.39566,0.62939,0.53015,0.56107,0.28989,1.89058,1.88648,0.02155,0,0.0009736,0.0009736,0.0009736
6,1517.47,1.95171,1.60976,0.00804,5.02682,0.76105,0.54921,0.61902,0.30631,1.96685,1.83299,0.02434,0,0.000967,0.000967,0.000967
7,1763.88,1.89606,1.38592,0.0067,4.67621,0.72835,0.61824,0.65847,0.31071,1.98839,1.54921,0.02363,0,0.0009604,0.0009604,0.0009604
8,2019.9,1.92394,1.44182,0.00669,4.44571,0.79182,0.65866,0.71952,0.36491,1.8416,1.44345,0.02063,0,0.0009538,0.0009538,0.0009538
9,2274.28,1.87484,1.39192,0.00684,4.23302,0.71476,0.55322,0.6128,0.31176,1.84576,1.63729,0.01974,0,0.0009472,0.0009472,0.0009472
10,2575.42,1.85041,1.29313,0.00675,4.08968,0.78258,0.61311,0.6924,0.38925,1.7552,1.38262,0.0196,0,0.0009406,0.0009406,0.0009406
11,2822.18,1.84879,1.30792,0.0066,4.00239,0.65078,0.5366,0.51999,0.27483,1.81003,1.76054,0.01957,0,0.000934,0.000934,0.000934
12,3070.9,1.88177,1.32359,0.00649,3.90843,0.64099,0.59717,0.56288,0.28956,1.87936,1.56131,0.02258,0,0.0009274,0.0009274,0.0009274
13,3293.66,1.80782,1.32495,0.00687,3.76691,0.79118,0.6331,0.71258,0.37126,1.77472,1.35179,0.01962,0,0.0009208,0.0009208,0.0009208
14,3535.79,1.81196,1.25465,0.00737,3.577,0.79625,0.64883,0.70418,0.40033,1.68969,1.35042,0.01786,0,0.0009142,0.0009142,0.0009142
15,3843.3,1.7476,1.16234,0.00606,3.52881,0.77032,0.63826,0.70624,0.38195,1.74219,1.35571,0.01868,0,0.0009076,0.0009076,0.0009076
16,4059.39,1.7767,1.25384,0.00705,3.436,0.80081,0.67166,0.75916,0.38707,1.78152,1.2516,0.01919,0,0.000901,0.000901,0.000901
17,4301.63,1.8143,1.23416,0.00667,3.45208,0.75176,0.62669,0.68448,0.38991,1.76017,1.27669,0.01876,0,0.0008944,0.0008944,0.0008944
18,4534.48,1.80274,1.18736,0.00653,3.36351,0.81848,0.6891,0.76015,0.42166,1.72988,1.2522,0.0186,0,0.0008878,0.0008878,0.0008878
19,4733.06,1.79193,1.20685,0.00665,3.30479,0.81608,0.69451,0.76113,0.39653,1.80544,1.40493,0.01895,0,0.0008812,0.0008812,0.0008812
20,5065.09,1.76765,1.13201,0.00636,3.19883,0.80716,0.67047,0.73712,0.39706,1.75965,1.26996,0.01827,0,0.0008746,0.0008746,0.0008746
21,5380.5,1.75665,1.13375,0.00562,3.04694,0.84389,0.70042,0.76959,0.44622,1.63351,1.11611,0.01724,0,0.000868,0.000868,0.000868
22,5738.92,1.74378,1.10276,0.00608,3.09246,0.83854,0.69102,0.77198,0.42802,1.67906,1.23111,0.01748,0,0.0008614,0.0008614,0.0008614
23,5942.98,1.6895,1.06753,0.00611,2.98048,0.83057,0.67662,0.7702,0.40588,1.74764,1.14204,0.01817,0,0.0008548,0.0008548,0.0008548
24,6207.41,1.72986,1.08515,0.00642,2.96117,0.86195,0.71567,0.79077,0.43947,1.69088,1.09507,0.01728,0,0.0008482,0.0008482,0.0008482
25,6481.48,1.68306,1.08774,0.00638,2.89018,0.80507,0.66943,0.73298,0.40117,1.76927,1.18623,0.01903,0,0.0008416,0.0008416,0.0008416
26,6768.01,1.76621,1.09972,0.00623,2.91805,0.73692,0.6089,0.67842,0.34405,1.80657,1.28246,0.0175,0,0.000835,0.000835,0.000835
27,7024.88,1.73141,1.04102,0.0057,2.80378,0.85541,0.68374,0.77193,0.422,1.72046,1.18364,0.01801,0,0.0008284,0.0008284,0.0008284
28,7239.45,1.70987,1.04676,0.00604,2.75933,0.83903,0.71601,0.77995,0.44292,1.63793,1.0961,0.01701,0,0.0008218,0.0008218,0.0008218
29,7471.05,1.68085,1.03843,0.00596,2.69758,0.82912,0.71513,0.78719,0.42412,1.86513,1.10685,0.02098,0,0.0008152,0.0008152,0.0008152
30,7742.9,1.70948,1.08646,0.00572,2.72306,0.80115,0.65413,0.73638,0.38365,1.81856,1.18679,0.0189,0,0.0008086,0.0008086,0.0008086
31,7952.57,1.68338,1.01827,0.00569,2.63306,0.848,0.69321,0.77891,0.43536,1.68431,1.10681,0.01735,0,0.000802,0.000802,0.000802
32,8184.63,1.68406,1.02787,0.0058,2.64947,0.82587,0.69881,0.76646,0.42411,1.69393,1.03832,0.0172,0,0.0007954,0.0007954,0.0007954
33,8427.4,1.69924,1.03702,0.00586,2.55659,0.87753,0.72956,0.80548,0.45929,1.63846,1.02609,0.0168,0,0.0007888,0.0007888,0.0007888
34,8711.44,1.67858,1.00464,0.00574,2.54183,0.79713,0.67491,0.73383,0.4002,1.69588,1.09182,0.01682,0,0.0007822,0.0007822,0.0007822
