epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,285.088,2.25191,4.02154,1.42446,19.3442,0.24482,0.31946,0.1388,0.05537,2.03504,4.31052,1.73425,0,0.00032716,0.00032716,0.0676111
2,588.265,2.13037,2.15555,1.2909,15.0793,0.48755,0.31025,0.30388,0.13938,2.03911,8.25221,2.0687,0,0.000656135,0.000656135,0.0346068
3,853.833,2.17706,2.07192,1.29089,12.6323,0.46978,0.44546,0.40598,0.19422,2.00262,5.13188,1.94463,0,0.000980709,0.000980709,0.00159799
4,1067.05,2.02699,1.85707,1.25468,11.3062,0.54084,0.38444,0.41579,0.20177,2.02102,4.70397,1.94859,0,0.0009802,0.0009802,0.0009802
5,1256.19,2.03881,1.80394,1.24793,10.2751,0.53477,0.46103,0.44789,0.21526,1.98013,2.91836,1.77873,0,0.0009736,0.0009736,0.0009736
6,1488.97,1.98869,1.73929,1.24078,9.44471,0.53543,0.48617,0.47318,0.21677,1.99271,2.54218,1.81372,0,0.000967,0.000967,0.000967
7,1721.63,1.9515,1.55484,1.19433,9.02748,0.62759,0.49711,0.52499,0.23327,2.00096,2.21928,1.7663,0,0.0009604,0.0009604,0.0009604
8,1943.54,2.01566,1.57198,1.20173,8.75322,0.63501,0.55191,0.55974,0.28743,1.83231,2.17506,1.62466,0,0.0009538,0.0009538,0.0009538
9,2214.31,1.93683,1.5021,1.19319,8.24646,0.7171,0.60139,0.6487,0.33595,1.83365,1.77515,1.6528,0,0.0009472,0.0009472,0.0009472
10,2503.77,1.90004,1.38811,1.17519,8.03926,0.6488,0.51402,0.57187,0.2897,1.8422,2.25764,1.65732,0,0.0009406,0.0009406,0.0009406
11,2743.81,1.90388,1.4192,1.17301,7.94689,0.57156,0.47464,0.43786,0.21472,1.89707,2.07318,1.62143,0,0.000934,0.000934,0.000934
12,2974.04,1.96177,1.50441,1.16709,7.82342,0.70167,0.58457,0.62919,0.32037,1.84573,2.06734,1.61793,0,0.0009274,0.0009274,0.0009274
13,3197.6,1.89326,1.45045,1.19926,7.44263,0.7064,0.59763,0.63753,0.31598,1.91446,2.01169,1.72593,0,0.0009208,0.0009208,0.0009208
14,3473.79,1.89547,1.40716,1.20766,7.26009,0.77416,0.62386,0.69975,0.34864,1.82916,1.60954,1.60652,0,0.0009142,0.0009142,0.0009142
15,3683.4,1.80472,1.295,1.14534,7.05986,0.74745,0.64756,0.68482,0.36094,1.79686,1.61964,1.59143,0,0.0009076,0.0009076,0.0009076
16,3909.51,1.83081,1.32765,1.18679,6.85802,0.74741,0.62613,0.69107,0.36877,1.79142,1.4571,1.57889,0,0.000901,0.000901,0.000901
17,4185.86,1.90067,1.34841,1.17425,6.76013,0.74492,0.65529,0.69602,0.37497,1.75235,1.61287,1.5888,0,0.0008944,0.0008944,0.0008944
18,4408.94,1.88142,1.36076,1.16457,6.71917,0.73736,0.64754,0.69426,0.36304,1.88503,1.50354,1.66528,0,0.0008878,0.0008878,0.0008878
19,4670.83,1.8752,1.3219,1.17421,6.51951,0.75636,0.65303,0.72065,0.37093,1.7619,1.69421,1.53352,0,0.0008812,0.0008812,0.0008812
20,4961.6,1.84152,1.33046,1.17334,6.52393,0.69741,0.56313,0.60641,0.31045,1.9374,2.03977,1.73048,0,0.0008746,0.0008746,0.0008746
21,5192.63,1.86696,1.29372,1.10802,6.13381,0.77414,0.65756,0.7208,0.4015,1.69128,1.43626,1.49115,0,0.000868,0.000868,0.000868
22,5485.17,1.83405,1.22985,1.13488,6.29547,0.78436,0.61704,0.69597,0.3553,1.87337,1.5251,1.62287,0,0.0008614,0.0008614,0.0008614
23,5698.67,1.7755,1.23567,1.14496,6.10359,0.81376,0.67171,0.73988,0.38744,1.80124,1.38354,1.57913,0,0.0008548,0.0008548,0.0008548
24,5915.76,1.80266,1.21468,1.14403,5.8548,0.79446,0.64769,0.72733,0.39887,1.77884,1.43585,1.58673,0,0.0008482,0.0008482,0.0008482
25,6142.17,1.7553,1.21118,1.16082,5.98104,0.79374,0.62951,0.70191,0.3541,1.85927,1.61262,1.57966,0,0.0008416,0.0008416,0.0008416
26,6398.7,1.83638,1.23424,1.14708,5.9046,0.81874,0.69362,0.76078,0.41157,1.69533,1.26199,1.51645,0,0.000835,0.000835,0.000835
27,6611.57,1.83903,1.13313,1.11655,5.70242,0.73122,0.62495,0.6713,0.33579,1.86478,1.48915,1.60568,0,0.0008284,0.0008284,0.0008284
