epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.952,2.26186,3.02974,0.01004,0.42899,0.41201,0.32195,0.12496,2.08955,3.03466,0.0224,0.000330218,0.000330218,0.0673084
2,294.462,2.02133,1.96035,0.00809,0.56557,0.43036,0.42135,0.20768,1.8927,3.5347,0.02148,0.000659172,0.000659172,0.034304
3,386.022,1.92718,1.77784,0.00834,0.63553,0.59498,0.60349,0.29082,1.88059,1.8776,0.02035,0.000983726,0.000983726,0.00129525
4,490.904,1.95432,1.73709,0.00841,0.66581,0.52074,0.56594,0.28544,1.98358,1.91496,0.024,0.0009802,0.0009802,0.0009802
5,708.653,1.93694,1.68915,0.00864,0.73559,0.59084,0.66434,0.32656,1.93623,1.71066,0.02242,0.0009736,0.0009736,0.0009736
6,842.781,1.95185,1.54093,0.00833,0.63624,0.504,0.46688,0.23988,2.04724,2.22812,0.02619,0.000967,0.000967,0.000967
7,964.209,1.92057,1.51634,0.00745,0.66374,0.58749,0.63267,0.31857,1.93528,2.07743,0.02242,0.0009604,0.0009604,0.0009604
8,1227.15,1.88514,1.54167,0.0082,0.65891,0.5793,0.62466,0.32481,1.87821,1.59144,0.02145,0.0009538,0.0009538,0.0009538
9,1364.4,1.87742,1.3736,0.00749,0.79085,0.65923,0.72195,0.38301,1.84054,1.44615,0.02107,0.0009472,0.0009472,0.0009472
10,1484.17,1.85984,1.39974,0.00848,0.79041,0.61911,0.70529,0.35779,1.92757,1.41318,0.02231,0.0009406,0.0009406,0.0009406
11,1698.03,1.86758,1.39833,0.00817,0.7972,0.66344,0.72621,0.38162,1.84707,1.46579,0.02091,0.000934,0.000934,0.000934
12,1990.62,1.82368,1.30735,0.00791,0.79786,0.6742,0.74101,0.3794,1.8633,1.38911,0.02073,0.0009274,0.0009274,0.0009274
13,2090.38,1.84344,1.31306,0.00765,0.77665,0.64187,0.70033,0.34008,1.92738,1.50483,0.02081,0.0009208,0.0009208,0.0009208
14,2325.91,1.86322,1.28256,0.00766,0.77776,0.60914,0.68567,0.34281,1.95489,1.5331,0.02248,0.0009142,0.0009142,0.0009142
15,2434.68,1.81725,1.25678,0.00787,0.82686,0.64428,0.72163,0.37701,1.89374,1.49653,0.0222,0.0009076,0.0009076,0.0009076
16,2631.03,1.82544,1.18315,0.00761,0.70258,0.59557,0.61695,0.31725,1.89568,1.45929,0.02082,0.000901,0.000901,0.000901
17,2770.02,1.88927,1.31849,0.00767,0.80749,0.607,0.69721,0.38383,1.80279,1.30769,0.01973,0.0008944,0.0008944,0.0008944
18,2872.62,1.80153,1.24965,0.00699,0.83387,0.66415,0.75013,0.42394,1.76243,1.27552,0.01947,0.0008878,0.0008878,0.0008878
19,3014.17,1.79346,1.25426,0.00742,0.83752,0.67253,0.75404,0.39306,1.87378,1.27945,0.0205,0.0008812,0.0008812,0.0008812
20,3253.46,1.73478,1.15591,0.0071,0.82747,0.6652,0.75341,0.39412,1.85761,1.3042,0.02107,0.0008746,0.0008746,0.0008746
21,3414.3,1.79775,1.159,0.00688,0.82798,0.6676,0.74714,0.37454,1.83465,1.26897,0.01899,0.000868,0.000868,0.000868
22,3554.66,1.77845,1.17748,0.00756,0.85104,0.69461,0.76949,0.43162,1.77513,1.23299,0.01927,0.0008614,0.0008614,0.0008614
23,3682.09,1.73826,1.16661,0.00794,0.83498,0.6936,0.76398,0.37576,1.93013,1.25061,0.02297,0.0008548,0.0008548,0.0008548
24,3884.32,1.77095,1.12784,0.00713,0.82158,0.65822,0.72455,0.39398,1.80609,1.24443,0.01916,0.0008482,0.0008482,0.0008482
25,4190.17,1.74344,1.11121,0.00752,0.82808,0.66484,0.75869,0.41477,1.76445,1.21538,0.0187,0.0008416,0.0008416,0.0008416
