epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.775,2.40249,3.64934,0.01056,0.05905,0.44252,0.10519,0.04653,1.69799,3.89498,0.01509,0.000330218,0.000330218,0.0673084
2,49.5309,2.08239,2.66156,0.008,0.28411,0.36338,0.22848,0.10795,1.76092,3.00588,0.01677,0.000659172,0.000659172,0.034304
3,68.9252,2.01236,2.41093,0.00819,0.29482,0.34681,0.21415,0.10081,1.77472,2.72682,0.01791,0.000983726,0.000983726,0.00129525
4,88.9115,2.01745,2.30466,0.00812,0.41596,0.46761,0.39081,0.18553,1.83319,2.48858,0.01912,0.0009802,0.0009802,0.0009802
5,108.778,1.97455,2.1856,0.00815,0.53262,0.50568,0.44272,0.21496,1.74369,2.18846,0.01711,0.0009736,0.0009736,0.0009736
6,129.208,2.01264,2.11682,0.00789,0.55015,0.50709,0.48448,0.24621,1.73188,2.14277,0.01718,0.000967,0.000967,0.000967
7,150.466,1.98319,1.94942,0.00717,0.5972,0.50986,0.50289,0.24855,1.72451,1.99192,0.01721,0.0009604,0.0009604,0.0009604
8,170.986,1.93033,1.90716,0.0079,0.62805,0.53792,0.54924,0.27972,1.74379,1.9894,0.01797,0.0009538,0.0009538,0.0009538
9,191.995,1.95681,1.82783,0.00733,0.6552,0.57264,0.57971,0.2836,1.76189,1.87922,0.01789,0.0009472,0.0009472,0.0009472
10,212.302,1.92035,1.83806,0.00828,0.66021,0.56237,0.58296,0.2887,1.80501,1.85601,0.01974,0.0009406,0.0009406,0.0009406
11,232.261,1.94106,1.79661,0.00795,0.64564,0.55506,0.58039,0.30198,1.72742,1.8004,0.01785,0.000934,0.000934,0.000934
12,252.577,1.89976,1.7064,0.0077,0.70264,0.58436,0.63141,0.32449,1.7746,1.66282,0.01888,0.0009274,0.0009274,0.0009274
13,272.697,1.90102,1.64974,0.00734,0.69199,0.58627,0.61334,0.28505,1.85605,1.64698,0.01906,0.0009208,0.0009208,0.0009208
14,292.928,1.92808,1.61336,0.00735,0.66954,0.53781,0.56651,0.26889,1.82304,1.75625,0.01837,0.0009142,0.0009142,0.0009142
15,313.335,1.89749,1.62098,0.0076,0.67256,0.5676,0.59494,0.31012,1.73554,1.64592,0.01732,0.0009076,0.0009076,0.0009076
16,334.386,1.89266,1.54413,0.00731,0.67283,0.59827,0.61832,0.29389,1.82955,1.59505,0.0188,0.000901,0.000901,0.000901
17,355.146,1.96388,1.62998,0.00752,0.70071,0.60622,0.64012,0.33611,1.7257,1.5513,0.01742,0.0008944,0.0008944,0.0008944
18,376.178,1.88232,1.55675,0.00688,0.73882,0.61982,0.66868,0.3638,1.70745,1.53875,0.0175,0.0008878,0.0008878,0.0008878
19,396.786,1.90976,1.55608,0.00722,0.72345,0.60986,0.65583,0.33872,1.7343,1.50041,0.01703,0.0008812,0.0008812,0.0008812
20,416.644,1.83357,1.49192,0.00703,0.75949,0.63299,0.69118,0.36609,1.73344,1.43249,0.01811,0.0008746,0.0008746,0.0008746
21,437.541,1.922,1.48205,0.00691,0.73966,0.63145,0.67115,0.36379,1.66817,1.43558,0.01679,0.000868,0.000868,0.000868
22,457.679,1.89636,1.50451,0.00766,0.7624,0.61867,0.68296,0.37253,1.71913,1.40904,0.01765,0.0008614,0.0008614,0.0008614
23,477.724,1.83621,1.47798,0.00787,0.74355,0.63257,0.68821,0.37751,1.67129,1.4262,0.01695,0.0008548,0.0008548,0.0008548
24,498.601,1.84807,1.44218,0.00713,0.74683,0.62512,0.68385,0.37243,1.7055,1.42056,0.01697,0.0008482,0.0008482,0.0008482
25,519.267,1.83344,1.41646,0.00735,0.79074,0.63892,0.69702,0.38182,1.67071,1.39021,0.0169,0.0008416,0.0008416,0.0008416
26,539.318,1.82122,1.45549,0.00771,0.75415,0.62846,0.68437,0.35759,1.75802,1.44929,0.0185,0.000835,0.000835,0.000835
27,560.677,1.85494,1.41498,0.00731,0.75399,0.6289,0.68514,0.36724,1.69707,1.42276,0.01718,0.0008284,0.0008284,0.0008284
28,581.358,1.85168,1.36213,0.00675,0.78751,0.64465,0.70921,0.37519,1.74892,1.31003,0.01856,0.0008218,0.0008218,0.0008218
29,601.159,1.80091,1.32578,0.00687,0.77606,0.66054,0.71551,0.39542,1.67682,1.27545,0.01681,0.0008152,0.0008152,0.0008152
30,622.031,1.81173,1.33479,0.00668,0.77745,0.65531,0.71135,0.38585,1.67458,1.27905,0.01687,0.0008086,0.0008086,0.0008086
31,642.597,1.84091,1.36641,0.00718,0.78618,0.64945,0.71111,0.38495,1.75715,1.32372,0.01926,0.000802,0.000802,0.000802
32,662.747,1.84435,1.36459,0.00758,0.78508,0.65771,0.71765,0.39037,1.74901,1.29982,0.019,0.0007954,0.0007954,0.0007954
33,683.151,1.84588,1.32151,0.00732,0.80121,0.66618,0.72662,0.40139,1.66863,1.24755,0.01646,0.0007888,0.0007888,0.0007888
34,703.141,1.7897,1.28606,0.00703,0.80033,0.66003,0.733,0.40306,1.69275,1.24322,0.01721,0.0007822,0.0007822,0.0007822
35,723.838,1.8274,1.31531,0.00702,0.78909,0.6596,0.72088,0.3875,1.75517,1.29889,0.01778,0.0007756,0.0007756,0.0007756
36,744.516,1.84294,1.29842,0.00687,0.80178,0.66104,0.73031,0.38827,1.76104,1.28741,0.01764,0.000769,0.000769,0.000769
37,764.864,1.85967,1.35981,0.00765,0.79053,0.67323,0.74042,0.41609,1.64992,1.21398,0.0164,0.0007624,0.0007624,0.0007624
38,785.084,1.76575,1.287,0.00733,0.81468,0.65893,0.73499,0.39185,1.74914,1.23241,0.01739,0.0007558,0.0007558,0.0007558
39,805.726,1.84262,1.30634,0.0074,0.82449,0.67655,0.74594,0.40467,1.69602,1.20117,0.01671,0.0007492,0.0007492,0.0007492
40,826.481,1.80606,1.30017,0.00691,0.83594,0.66977,0.74894,0.425,1.65267,1.20846,0.01694,0.0007426,0.0007426,0.0007426
41,846.86,1.84344,1.31324,0.00742,0.8122,0.65839,0.72745,0.38348,1.69214,1.23244,0.01634,0.000736,0.000736,0.000736
42,867.163,1.73596,1.20528,0.00723,0.81504,0.68046,0.74679,0.4214,1.70793,1.20752,0.01819,0.0007294,0.0007294,0.0007294
43,887.508,1.77919,1.22174,0.00689,0.81393,0.68549,0.7516,0.42318,1.65963,1.16132,0.0166,0.0007228,0.0007228,0.0007228
44,908.621,1.8051,1.22862,0.00711,0.8243,0.67872,0.74958,0.42797,1.64195,1.17549,0.01635,0.0007162,0.0007162,0.0007162
45,930.256,1.86103,1.21774,0.00692,0.81861,0.6757,0.75292,0.42607,1.64999,1.15508,0.01627,0.0007096,0.0007096,0.0007096
46,950.453,1.802,1.23043,0.007,0.82394,0.67593,0.75012,0.42493,1.64268,1.1526,0.01637,0.000703,0.000703,0.000703
47,970.697,1.81101,1.23788,0.00744,0.81845,0.68861,0.74828,0.4298,1.70238,1.13077,0.01879,0.0006964,0.0006964,0.0006964
48,990.944,1.78521,1.22821,0.00759,0.82284,0.68062,0.74464,0.41907,1.6585,1.17059,0.01635,0.0006898,0.0006898,0.0006898
49,1011.33,1.81008,1.19954,0.00669,0.84161,0.67781,0.75702,0.42345,1.6236,1.16482,0.01576,0.0006832,0.0006832,0.0006832
50,1032.68,1.78873,1.15665,0.00669,0.82351,0.69524,0.7581,0.41948,1.68443,1.14835,0.01695,0.0006766,0.0006766,0.0006766
51,1053.3,1.789,1.16007,0.00684,0.83129,0.69261,0.7655,0.43337,1.63241,1.10605,0.01623,0.00067,0.00067,0.00067
52,1073.47,1.77447,1.146,0.00647,0.81449,0.70065,0.76464,0.42228,1.65374,1.15181,0.01597,0.0006634,0.0006634,0.0006634
53,1094.27,1.78957,1.16334,0.00673,0.83206,0.69931,0.76784,0.4363,1.65322,1.08701,0.01659,0.0006568,0.0006568,0.0006568
54,1114.56,1.77031,1.13724,0.00671,0.82068,0.67813,0.74224,0.39778,1.72823,1.13443,0.01691,0.0006502,0.0006502,0.0006502
55,1134.33,1.74504,1.14926,0.0071,0.85715,0.69004,0.77186,0.4373,1.65244,1.12667,0.01683,0.0006436,0.0006436,0.0006436
56,1154.01,1.76778,1.15167,0.00713,0.849,0.68754,0.76018,0.40844,1.71819,1.13901,0.01669,0.000637,0.000637,0.000637
57,1174.22,1.78465,1.15606,0.00687,0.84805,0.69719,0.77225,0.45256,1.59908,1.09917,0.01593,0.0006304,0.0006304,0.0006304
58,1194.29,1.73506,1.13752,0.00702,0.83487,0.70031,0.76758,0.44692,1.58275,1.07581,0.01529,0.0006238,0.0006238,0.0006238
59,1214.62,1.76598,1.13697,0.00695,0.83984,0.69545,0.77308,0.43878,1.64359,1.0969,0.01667,0.0006172,0.0006172,0.0006172
60,1235.38,1.75321,1.15135,0.00711,0.84124,0.69627,0.76361,0.42604,1.64353,1.11504,0.01584,0.0006106,0.0006106,0.0006106
61,1256.3,1.7956,1.10666,0.00714,0.83557,0.71322,0.77414,0.43468,1.69345,1.06742,0.01732,0.000604,0.000604,0.000604
62,1276.94,1.76351,1.08898,0.00689,0.84189,0.69921,0.77753,0.42177,1.69757,1.07966,0.01731,0.0005974,0.0005974,0.0005974
63,1298,1.77141,1.09102,0.00635,0.83304,0.70368,0.7783,0.44672,1.62771,1.04739,0.01632,0.0005908,0.0005908,0.0005908
64,1317.96,1.7259,1.0679,0.00638,0.83145,0.7146,0.77376,0.44438,1.62017,1.08298,0.01594,0.0005842,0.0005842,0.0005842
65,1338.62,1.76225,1.11688,0.00694,0.80857,0.70579,0.77305,0.44451,1.63347,1.07551,0.01606,0.0005776,0.0005776,0.0005776
66,1358.71,1.75185,1.1476,0.00696,0.84127,0.6883,0.76858,0.4289,1.62738,1.09618,0.01563,0.000571,0.000571,0.000571
67,1377.99,1.7099,1.08161,0.00683,0.83578,0.70508,0.77308,0.43957,1.61423,1.05615,0.01513,0.0005644,0.0005644,0.0005644
68,1398.06,1.73909,1.07786,0.00668,0.85394,0.70133,0.77493,0.43403,1.68236,1.06336,0.01662,0.0005578,0.0005578,0.0005578
69,1418.51,1.728,1.08267,0.00662,0.84349,0.71068,0.78144,0.4403,1.63252,1.0784,0.01562,0.0005512,0.0005512,0.0005512
70,1438.61,1.71348,1.06401,0.00681,0.84451,0.71572,0.78818,0.45373,1.61388,1.07226,0.01551,0.0005446,0.0005446,0.0005446
71,1459.52,1.72067,1.0372,0.00654,0.831,0.7159,0.77582,0.44184,1.62957,1.0733,0.01599,0.000538,0.000538,0.000538
72,1480.33,1.76686,1.05792,0.0066,0.83274,0.71199,0.77861,0.44212,1.63437,1.0564,0.01567,0.0005314,0.0005314,0.0005314
73,1499.89,1.70769,1.04816,0.00688,0.85458,0.71703,0.78632,0.45255,1.61253,1.02025,0.01549,0.0005248,0.0005248,0.0005248
74,1520.37,1.735,1.05258,0.0065,0.85165,0.71047,0.78397,0.46027,1.6179,1.08133,0.01592,0.0005182,0.0005182,0.0005182
75,1542.36,1.7105,1.01927,0.00646,0.83518,0.71371,0.78053,0.45019,1.6133,1.06066,0.01552,0.0005116,0.0005116,0.0005116
76,1562.95,1.70501,1.03218,0.00652,0.8382,0.70479,0.77564,0.44264,1.63236,1.05736,0.0156,0.000505,0.000505,0.000505
77,1583.97,1.7391,1.01164,0.00613,0.86372,0.70792,0.78497,0.44714,1.62676,1.02002,0.01541,0.0004984,0.0004984,0.0004984
78,1604.75,1.7355,1.04399,0.00654,0.84623,0.72198,0.79137,0.47347,1.56484,1.03527,0.01536,0.0004918,0.0004918,0.0004918
79,1624.91,1.6293,1.00078,0.0067,0.86179,0.72028,0.79507,0.46943,1.56283,1.02034,0.01509,0.0004852,0.0004852,0.0004852
80,1647.11,1.76106,1.06194,0.00666,0.85123,0.72129,0.7893,0.46727,1.57671,1.02015,0.01533,0.0004786,0.0004786,0.0004786
81,1668.49,1.69973,0.97008,0.00574,0.8512,0.72382,0.7951,0.45842,1.61006,1.02827,0.01545,0.000472,0.000472,0.000472
82,1689.15,1.63751,1.00182,0.00662,0.83517,0.72839,0.78887,0.45906,1.62887,1.03135,0.0158,0.0004654,0.0004654,0.0004654
83,1710.88,1.73743,1.00674,0.00637,0.85727,0.71179,0.78429,0.45436,1.61808,1.07707,0.01563,0.0004588,0.0004588,0.0004588
84,1731.44,1.63858,0.95641,0.00619,0.84111,0.72379,0.78833,0.45635,1.63437,1.05615,0.01589,0.0004522,0.0004522,0.0004522
85,1751.51,1.66747,0.96281,0.00629,0.84888,0.72501,0.78854,0.45938,1.59625,1.07087,0.01546,0.0004456,0.0004456,0.0004456
86,1772.63,1.70827,1.01181,0.00668,0.84803,0.7224,0.79494,0.46007,1.61759,1.02653,0.01562,0.000439,0.000439,0.000439
87,1792.82,1.64937,0.95657,0.00637,0.84606,0.71586,0.78423,0.4552,1.59976,1.06564,0.01523,0.0004324,0.0004324,0.0004324
88,1813.48,1.6939,1.0119,0.00698,0.85489,0.72443,0.79182,0.45358,1.62286,1.02959,0.01552,0.0004258,0.0004258,0.0004258
89,1834.99,1.68493,0.96722,0.0059,0.85163,0.72734,0.79862,0.47178,1.56812,1.02835,0.01501,0.0004192,0.0004192,0.0004192
90,1857.61,1.68989,0.97182,0.00607,0.85841,0.72659,0.80053,0.46594,1.59271,0.98286,0.01538,0.0004126,0.0004126,0.0004126
91,1877.96,1.6946,0.97051,0.00626,0.85688,0.73201,0.79993,0.46403,1.59923,1.03935,0.0156,0.000406,0.000406,0.000406
92,1897.5,1.65333,0.96788,0.00694,0.85027,0.71943,0.79111,0.44283,1.68333,1.05653,0.01647,0.0003994,0.0003994,0.0003994
93,1917.78,1.67022,0.952,0.0062,0.85219,0.71405,0.79032,0.44881,1.6381,1.03552,0.01555,0.0003928,0.0003928,0.0003928
94,1938.3,1.64928,0.94589,0.00638,0.85374,0.7153,0.78809,0.44463,1.65856,1.04895,0.01603,0.0003862,0.0003862,0.0003862
95,1958.44,1.66073,0.96735,0.00658,0.85476,0.72573,0.79387,0.46477,1.61375,1.01683,0.01569,0.0003796,0.0003796,0.0003796
