epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.755,2.35301,3.93045,0.01077,0.1114,0.22296,0.06011,0.01766,2.23734,7.09563,0.0276,0.00032716,0.00032716,0.0676111
2,475.65,2.04264,2.16044,0.00823,0.48294,0.44254,0.39937,0.18144,1.96684,3.66278,0.02305,0.000656135,0.000656135,0.0346068
3,653.094,2.0825,1.99501,0.00808,0.46293,0.45922,0.40244,0.18281,1.92418,2.38942,0.0224,0.000980709,0.000980709,0.00159799
4,834.736,1.98293,1.67986,0.00743,0.49356,0.50842,0.43767,0.21868,1.96004,2.13633,0.02391,0.0009802,0.0009802,0.0009802
5,1002.13,1.96874,1.60089,0.0077,0.58093,0.53312,0.46699,0.23067,1.93345,1.93344,0.02236,0.0009736,0.0009736,0.0009736
6,1165.24,1.92324,1.58887,0.00816,0.73976,0.54858,0.61798,0.29698,1.97934,1.69218,0.02385,0.000967,0.000967,0.000967
7,1313.59,1.88729,1.38394,0.00686,0.76617,0.62211,0.6783,0.33515,1.90724,1.62322,0.02216,0.0009604,0.0009604,0.0009604
8,1473.23,1.93826,1.42829,0.00697,0.75224,0.62298,0.66996,0.33428,1.87795,1.66999,0.02223,0.0009538,0.0009538,0.0009538
9,1660.47,1.88858,1.38999,0.00696,0.77622,0.61993,0.67354,0.35531,1.7942,1.53842,0.02051,0.0009472,0.0009472,0.0009472
10,1861.27,1.84655,1.30414,0.00681,0.69605,0.55664,0.60666,0.29377,2.00427,1.94722,0.02234,0.0009406,0.0009406,0.0009406
11,2038.57,1.84709,1.28472,0.00673,0.77373,0.63555,0.70169,0.36564,1.8584,1.481,0.02051,0.000934,0.000934,0.000934
12,2227.37,1.89469,1.34343,0.00665,0.72271,0.62022,0.65404,0.35368,1.77808,1.71236,0.01995,0.0009274,0.0009274,0.0009274
13,2393.44,1.84667,1.33187,0.0072,0.75691,0.60392,0.65712,0.34028,1.81898,1.69391,0.02006,0.0009208,0.0009208,0.0009208
14,2592.33,1.84611,1.33276,0.00761,0.85099,0.66324,0.73716,0.38189,1.81685,1.37598,0.02071,0.0009142,0.0009142,0.0009142
15,2771.92,1.77011,1.18193,0.00621,0.73139,0.60557,0.66034,0.32997,1.96852,1.7117,0.02276,0.0009076,0.0009076,0.0009076
16,2917.55,1.80293,1.26455,0.00718,0.72749,0.58691,0.62475,0.32134,1.83477,1.42228,0.02022,0.000901,0.000901,0.000901
17,3091.6,1.84701,1.24573,0.00685,0.7992,0.65576,0.72934,0.38344,1.80223,1.37608,0.02068,0.0008944,0.0008944,0.0008944
18,3254.76,1.81644,1.20465,0.0068,0.81642,0.67359,0.74326,0.36979,1.85868,1.30051,0.01998,0.0008878,0.0008878,0.0008878
19,3439.72,1.8232,1.25359,0.00697,0.79945,0.66762,0.72752,0.38013,1.83608,1.26307,0.01958,0.0008812,0.0008812,0.0008812
20,3616.25,1.80212,1.19732,0.00669,0.82791,0.66994,0.74754,0.39322,1.82734,1.37831,0.02035,0.0008746,0.0008746,0.0008746
21,3823.93,1.79645,1.22104,0.00594,0.83925,0.7146,0.77769,0.43714,1.73532,1.22307,0.02022,0.000868,0.000868,0.000868
22,4001.03,1.78488,1.1253,0.00636,0.81437,0.67107,0.73959,0.40807,1.7476,1.1835,0.01945,0.0008614,0.0008614,0.0008614
23,4190.46,1.75941,1.1075,0.00654,0.71632,0.61831,0.65045,0.32562,1.7832,1.38527,0.01828,0.0008548,0.0008548,0.0008548
24,4356.61,1.7787,1.13342,0.00675,0.84887,0.7146,0.78414,0.42417,1.80676,1.26262,0.02009,0.0008482,0.0008482,0.0008482
25,4519.57,1.75095,1.15122,0.00686,0.68267,0.58629,0.57544,0.30933,1.87206,1.50886,0.0211,0.0008416,0.0008416,0.0008416
26,4700.31,1.81715,1.15353,0.0066,0.68406,0.52124,0.48972,0.26005,1.81067,1.77213,0.01799,0.000835,0.000835,0.000835
27,4936.34,1.77816,1.06853,0.00604,0.82244,0.69393,0.75366,0.42972,1.75674,1.18723,0.02063,0.0008284,0.0008284,0.0008284
