epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.202,2.21338,2.97473,1.44257,0.40417,0.3913,0.33775,0.16384,2.18898,3.48513,2.04684,0.000330218,0.000330218,0.0673084
2,343.993,2.06667,1.92594,1.33494,0.31407,0.33695,0.27436,0.13084,2.20666,6.44945,2.17383,0.000659172,0.000659172,0.034304
3,403.338,2.03441,1.82077,1.33231,0.52158,0.43699,0.4214,0.19273,2.1769,2.61632,1.95001,0.000983726,0.000983726,0.00129525
4,489.036,2.08104,1.75339,1.34387,0.45693,0.4709,0.43112,0.20192,2.04996,3.39164,1.9748,0.0009802,0.0009802,0.0009802
5,584.715,2.04627,1.78457,1.34389,0.64462,0.53193,0.57193,0.28112,2.04701,2.22289,1.86234,0.0009736,0.0009736,0.0009736
6,658.957,2.0383,1.68755,1.31202,0.67568,0.53073,0.5669,0.28513,1.95579,1.90973,1.78698,0.000967,0.000967,0.000967
7,776.067,2.01302,1.56009,1.26568,0.63446,0.54051,0.55484,0.26822,2.00072,2.09495,1.74718,0.0009604,0.0009604,0.0009604
8,999.592,1.97786,1.67684,1.30499,0.67359,0.53499,0.56709,0.29409,1.92097,1.8358,1.7238,0.0009538,0.0009538,0.0009538
9,1164.56,1.97894,1.56076,1.2638,0.71565,0.54875,0.59232,0.30434,1.94224,2.13109,1.74885,0.0009472,0.0009472,0.0009472
10,2049.04,1.9883,1.6234,1.3188,0.74693,0.58597,0.65205,0.3221,1.91879,1.58583,1.70237,0.0009406,0.0009406,0.0009406
11,2126.04,1.91786,1.48178,1.2871,0.66127,0.57877,0.59013,0.30005,1.92248,1.54156,1.74456,0.000934,0.000934,0.000934
12,2238.21,1.92707,1.49074,1.27779,0.7426,0.62967,0.68253,0.3399,1.90493,1.61722,1.69688,0.0009274,0.0009274,0.0009274
13,2442.93,1.89223,1.42131,1.2493,0.70755,0.58684,0.62962,0.28172,2.09724,1.67581,1.85753,0.0009208,0.0009208,0.0009208
14,2539.2,1.91709,1.40214,1.25446,0.70578,0.58887,0.63879,0.31045,1.93963,1.64676,1.70419,0.0009142,0.0009142,0.0009142
