epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4465,2.25697,3.39989,1.39477,0.39341,0.41016,0.31793,0.14531,2.00339,3.98795,1.73605,0.000330218,0.000330218,0.0673084
2,76.5082,2.04881,1.96061,1.2756,0.4422,0.44674,0.3366,0.15636,2.01398,3.81573,1.78635,0.000659172,0.000659172,0.034304
3,108.26,2.03095,1.90331,1.2841,0.38868,0.50206,0.36161,0.17363,1.96242,2.82967,1.69871,0.000983726,0.000983726,0.00129525
4,138.905,2.05006,1.84254,1.27812,0.61276,0.50908,0.53779,0.2581,2.04368,2.33382,1.8058,0.0009802,0.0009802,0.0009802
5,170.709,2.06018,1.80764,1.28581,0.5828,0.48706,0.50693,0.23782,2.01885,2.77582,1.66154,0.0009736,0.0009736,0.0009736
6,199.776,2.06195,1.69083,1.25748,0.63646,0.54595,0.55155,0.274,1.92366,1.7884,1.63137,0.000967,0.000967,0.000967
7,228.988,2.0356,1.65056,1.21186,0.63848,0.52211,0.56755,0.29109,1.97645,2.38324,1.64919,0.0009604,0.0009604,0.0009604
8,260.102,1.98654,1.58603,1.24792,0.67811,0.57084,0.61607,0.30294,1.96217,1.67256,1.6593,0.0009538,0.0009538,0.0009538
9,289.521,1.98691,1.50969,1.2115,0.7008,0.63416,0.67776,0.326,1.87317,1.61168,1.58634,0.0009472,0.0009472,0.0009472
10,320.372,1.96609,1.59345,1.24653,0.76065,0.60679,0.66711,0.32453,1.91072,1.45291,1.58616,0.0009406,0.0009406,0.0009406
11,356.331,1.9347,1.48124,1.22876,0.75368,0.63706,0.69106,0.34478,1.88887,1.45445,1.58505,0.000934,0.000934,0.000934
12,389.34,1.92737,1.44508,1.21535,0.75268,0.61889,0.6683,0.33424,1.87901,1.87664,1.60488,0.0009274,0.0009274,0.0009274
13,421.523,1.91592,1.45597,1.21251,0.67566,0.56937,0.62168,0.29296,1.99197,1.598,1.62511,0.0009208,0.0009208,0.0009208
14,454.097,1.93461,1.41257,1.20919,0.75527,0.59333,0.67192,0.33847,1.88159,1.53886,1.57404,0.0009142,0.0009142,0.0009142
15,486.836,1.89314,1.36535,1.20362,0.76418,0.60477,0.67872,0.33553,1.91689,1.46826,1.60032,0.0009076,0.0009076,0.0009076
16,519.862,1.91126,1.36388,1.18491,0.65946,0.59573,0.61026,0.30399,1.86325,1.51481,1.59268,0.000901,0.000901,0.000901
17,552.694,1.95168,1.39787,1.19573,0.71299,0.59323,0.65827,0.32203,1.84618,1.48952,1.52417,0.0008944,0.0008944,0.0008944
18,585.465,1.91004,1.33215,1.17847,0.75539,0.62334,0.67288,0.33447,1.92054,1.53961,1.59217,0.0008878,0.0008878,0.0008878
19,617.964,1.92705,1.36042,1.1995,0.75327,0.615,0.67741,0.34376,1.87214,1.44535,1.5546,0.0008812,0.0008812,0.0008812
20,650.298,1.86168,1.33597,1.18015,0.79469,0.65923,0.72363,0.36421,1.98769,1.37963,1.71448,0.0008746,0.0008746,0.0008746
21,683.608,1.93879,1.30659,1.16746,0.73656,0.60562,0.67291,0.35244,1.8394,1.6461,1.5386,0.000868,0.000868,0.000868
22,716.104,1.88175,1.31264,1.19036,0.80604,0.67314,0.7311,0.39041,1.75362,1.23519,1.49877,0.0008614,0.0008614,0.0008614
23,748.58,1.8636,1.3354,1.21195,0.77072,0.66394,0.70996,0.37089,1.81558,1.29903,1.54119,0.0008548,0.0008548,0.0008548
24,780.891,1.85041,1.2674,1.17782,0.77993,0.66896,0.71838,0.3674,1.82004,1.32865,1.52281,0.0008482,0.0008482,0.0008482
25,809.516,1.84175,1.2705,1.18107,0.78375,0.67262,0.73457,0.39454,1.7762,1.27058,1.49857,0.0008416,0.0008416,0.0008416
26,838.242,1.82541,1.29468,1.19916,0.79283,0.67567,0.73027,0.39007,1.84876,1.30637,1.59794,0.000835,0.000835,0.000835
27,872.265,1.85773,1.28314,1.17709,0.77414,0.65139,0.71811,0.3574,1.87289,1.30752,1.53819,0.0008284,0.0008284,0.0008284
28,905.265,1.88562,1.23301,1.15053,0.83027,0.67725,0.74941,0.40777,1.78446,1.19127,1.51535,0.0008218,0.0008218,0.0008218
29,937.777,1.81248,1.17105,1.15321,0.79265,0.65223,0.72229,0.37821,1.81669,1.82378,1.53035,0.0008152,0.0008152,0.0008152
30,970.536,1.76273,1.13183,1.13641,0.82259,0.6389,0.71178,0.38786,1.7802,1.24361,1.493,0.0008086,0.0008086,0.0008086
31,1007.4,1.82493,1.2075,1.16271,0.79701,0.68725,0.7393,0.38267,1.92386,1.26051,1.65035,0.000802,0.000802,0.000802
32,1039.88,1.80446,1.2101,1.16699,0.76688,0.6631,0.72292,0.36229,1.86993,1.37422,1.56117,0.0007954,0.0007954,0.0007954
33,1072.67,1.82115,1.18931,1.15558,0.81915,0.68,0.75388,0.40966,1.71591,1.24518,1.46575,0.0007888,0.0007888,0.0007888
34,1105.09,1.77795,1.15429,1.15266,0.8448,0.67955,0.76763,0.4192,1.77044,1.19049,1.51391,0.0007822,0.0007822,0.0007822
35,1137.78,1.82408,1.18665,1.1578,0.84752,0.68164,0.76293,0.42126,1.73458,1.19898,1.49289,0.0007756,0.0007756,0.0007756
36,1170.5,1.82844,1.16935,1.14407,0.79772,0.62597,0.70431,0.3869,1.7492,1.40864,1.49219,0.000769,0.000769,0.000769
37,1214.28,1.84653,1.25188,1.18368,0.83554,0.68983,0.76872,0.44148,1.74432,1.18583,1.48377,0.0007624,0.0007624,0.0007624
38,2764.06,1.73345,1.144,1.1619,0.84155,0.70036,0.77236,0.42496,1.75986,1.11704,1.48175,0.0007558,0.0007558,0.0007558
39,2793.6,1.82837,1.17721,1.16277,0.81241,0.683,0.75749,0.41525,1.78942,1.19462,1.52272,0.0007492,0.0007492,0.0007492
