epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.14,2.17548,2.92805,1.64412,0.18905,0.19072,0.07929,0.03098,2.23936,3.76022,1.85116,0.000132087,0.000132087,0.0671103
2,393.786,2.04292,2.17761,1.50491,0.35552,0.43064,0.31236,0.13,1.97894,2.25047,1.61501,0.000256662,0.000256662,0.0339015
3,580.035,1.98056,1.92225,1.4325,0.54571,0.34287,0.34848,0.16257,1.87668,2.22473,1.5331,0.000372436,0.000372436,0.000683963
4,803.387,1.94515,1.84498,1.43561,0.5919,0.46336,0.47453,0.22444,1.81847,1.72839,1.55961,0.0003604,0.0003604,0.0003604
5,1019.53,1.91444,1.76923,1.4017,0.57368,0.51817,0.50491,0.24085,1.82473,1.69214,1.52888,0.0003472,0.0003472,0.0003472
6,1200.93,1.86501,1.68719,1.39495,0.70328,0.50909,0.54588,0.27025,1.7548,1.57,1.49576,0.000334,0.000334,0.000334
7,1413.26,1.86343,1.63919,1.3784,0.69901,0.5475,0.57403,0.26076,1.81016,1.57303,1.54737,0.0003208,0.0003208,0.0003208
8,1594.76,1.83663,1.63299,1.38366,0.65131,0.53894,0.55965,0.27378,1.75793,1.58156,1.48745,0.0003076,0.0003076,0.0003076
9,1807.5,1.85104,1.59652,1.37215,0.65799,0.52355,0.54932,0.2733,1.7381,1.5513,1.45538,0.0002944,0.0002944,0.0002944
10,1995.7,1.79251,1.53089,1.36202,0.71275,0.57952,0.5922,0.29923,1.68169,1.49666,1.44486,0.0002812,0.0002812,0.0002812
11,2163.99,1.80243,1.54702,1.35096,0.71105,0.5588,0.58387,0.28856,1.69777,1.4469,1.42625,0.000268,0.000268,0.000268
12,2323.13,1.78336,1.48383,1.34798,0.76155,0.59664,0.62442,0.31278,1.70951,1.42588,1.45608,0.0002548,0.0002548,0.0002548
13,2486.15,1.79868,1.45368,1.31445,0.76641,0.60078,0.64406,0.33299,1.67895,1.41346,1.43205,0.0002416,0.0002416,0.0002416
14,2648.21,1.77101,1.44227,1.32455,0.75348,0.56526,0.61791,0.32551,1.66261,1.39974,1.41023,0.0002284,0.0002284,0.0002284
15,2808.12,1.74314,1.44182,1.32065,0.79246,0.60114,0.63695,0.32361,1.68835,1.31758,1.41873,0.0002152,0.0002152,0.0002152
16,2967.43,1.76891,1.39967,1.30296,0.77086,0.61353,0.64797,0.33121,1.69831,1.36587,1.46052,0.000202,0.000202,0.000202
17,3129.32,1.74203,1.37196,1.30382,0.7763,0.60158,0.64981,0.33232,1.62784,1.36031,1.38046,0.0001888,0.0001888,0.0001888
18,3289.68,1.7339,1.33235,1.27043,0.81278,0.6151,0.66773,0.34215,1.66955,1.29821,1.42117,0.0001756,0.0001756,0.0001756
19,3449.87,1.74188,1.36088,1.29729,0.81909,0.61184,0.67605,0.35906,1.60814,1.306,1.37151,0.0001624,0.0001624,0.0001624
20,3608.24,1.72066,1.31963,1.27525,0.79621,0.6092,0.6653,0.34737,1.6511,1.28684,1.37922,0.0001492,0.0001492,0.0001492
21,3763.67,1.69208,1.43141,1.31058,0.80564,0.60626,0.66963,0.36278,1.57885,1.30616,1.365,0.000136,0.000136,0.000136
22,3918.44,1.64824,1.37233,1.29463,0.79226,0.62941,0.67233,0.36659,1.56768,1.27517,1.36109,0.0001228,0.0001228,0.0001228
23,4072.94,1.62469,1.30905,1.27074,0.80179,0.6199,0.68157,0.37612,1.57298,1.254,1.35034,0.0001096,0.0001096,0.0001096
24,4226.55,1.63986,1.32566,1.29391,0.82659,0.61987,0.68469,0.38184,1.54333,1.24978,1.3362,9.64e-05,9.64e-05,9.64e-05
25,4382.69,1.6311,1.30529,1.27474,0.80339,0.63242,0.68409,0.37458,1.58966,1.25242,1.37035,8.32e-05,8.32e-05,8.32e-05
26,4537.47,1.62861,1.3097,1.27989,0.82526,0.62976,0.6935,0.38449,1.5612,1.2329,1.34662,7e-05,7e-05,7e-05
27,4692.6,1.62572,1.29535,1.27776,0.798,0.64332,0.68335,0.37874,1.54136,1.20354,1.33373,5.68e-05,5.68e-05,5.68e-05
28,4849.25,1.6038,1.26907,1.26213,0.81416,0.63781,0.68828,0.37478,1.55409,1.20556,1.33314,4.36e-05,4.36e-05,4.36e-05
29,5003.83,1.58136,1.26533,1.2747,0.81412,0.64623,0.69714,0.38962,1.53381,1.17936,1.33086,3.04e-05,3.04e-05,3.04e-05
30,5158.38,1.58848,1.2473,1.25976,0.81445,0.64421,0.6948,0.38621,1.53905,1.19699,1.32699,1.72e-05,1.72e-05,1.72e-05
